Feature,Importance
PageValues,0.4622348674139125
ExitRates,0.06905376072358829
Administrative,0.06655653737181508
ProductRelated_Duration,0.06292946883260567
Month,0.057846918810983534
ProductRelated,0.05519837697184585
Administrative_Duration,0.04790225566419303
TrafficType,0.03627140466565732
BounceRates,0.0346113236636818
Region,0.02412126947440031
OperatingSystems,0.017871206355936524
Informational,0.017459835797423294
Browser,0.015886567004046184
Informational_Duration,0.01550565642171107
VisitorType,0.006761690953935539
Weekend,0.006092326944868037
SpecialDay,0.003696532929395856
